distance_cm,time_s,accel,speed
11,1.035,4.4,11
15,1.392,4.4,11
20,1.839,4.4,11
35.4,3.213,4.4,11
40,3.623,4.4,11
50,4.515,4.4,11
70.7,6.362,4.4,11
100,8.976,4.4,11
1,0.138,4.6,11
2,0.227,4.6,11
3,0.316,4.6,11
4,0.406,4.6,11
5,0.496,4.6,11
7,0.675,4.6,11
9,0.854,4.6,11
11,1.034,4.6,11
15,1.392,4.6,11
20,1.84,4.6,11
35.4,3.22,4.6,11
40,3.632,4.6,11
50,4.527,4.6,11
70.7,6.383,4.6,11
100,9.008,4.6,11
1,0.132,4.8,11
2,0.221,4.8,11
3,0.311,4.8,11
4,0.401,4.8,11
5,0.491,4.8,11
7,0.67,4.8,11
9,0.849,4.8,11
11,1.028,4.8,11
15,1.387,4.8,11
20,1.835,4.8,11
35.4,3.214,4.8,11
40,3.626,4.8,11
50,4.522,4.8,11
70.7,6.377,4.8,11
100,9.002,4.8,11
1,0.128,5.0,11
2,0.217,5.0,11
3,0.306,5.0,11
4,0.395,5.0,11
5,0.485,5.0,11
7,0.664,5.0,11
9,0.842,5.0,11
11,1.021,5.0,11
15,1.378,5.0,11
20,1.826,5.0,11
35.4,3.201,5.0,11
40,3.613,5.0,11
50,4.505,5.0,11
70.7,6.355,5.0,11
100,8.973,5.0,11
1,0.124,5.2,11
2,0.213,5.2,11
3,0.303,5.2,11
4,0.392,5.2,11
5,0.481,5.2,11
7,0.66,5.2,11
9,0.8389999,5.2,11
11,1.018,5.2,11
15,1.376,5.2,11
20,1.824,5.2,11
35.4,3.201,5.2,11
40,3.614,5.2,11
50,4.507,5.2,11
70.7,6.359,5.2,11
100,8.981,5.2,11
1,0.12,5.4,11
2,0.209,5.4,11
3,0.298,5.4,11
4,0.387,5.4,11
5,0.476,5.4,11
7,0.654,5.4,11
9,0.833,5.4,11
11,1.011,5.4,11
15,1.367,5.4,11
20,1.813,5.4,11
35.4,3.185,5.4,11
40,3.595,5.4,11
50,4.486,5.4,11
70.7,6.329,5.4,11
100,8.94,5.4,11
1,0.234,3.0,5
2,0.43,3.0,5
3,0.627,3.0,5
4,0.825,3.0,5
5,1.021,3.0,5
7,1.417,3.0,5
9,1.81,3.0,5
11,2.203,3.0,5
15,2.991,3.0,5
20,3.977,3.0,5
35.4,7.01,3.0,5
40,7.917,3.0,5
50,9.885,3.0,5
1,0.212,3.0,8
2,0.333,3.0,8
3,0.456,3.0,8
4,0.579,3.0,8
5,0.701,3.0,8
7,0.947,3.0,8
9,1.192,3.0,8
11,1.437,3.0,8
15,1.927,3.0,8
20,2.541,3.0,8
35.4,4.429,3.0,8
40,4.994,3.0,8
50,6.22,3.0,8
70.7,8.759,3.0,8
1,0.199,3.2,8
2,0.319,3.2,8
3,0.442,3.2,8
4,0.565,3.2,8
5,0.687,3.2,8
7,0.933,3.2,8
9,1.179,3.2,8
11,1.423,3.2,8
15,1.913,3.2,8
20,2.527,3.2,8
35.4,4.415,3.2,8
40,4.98,3.2,8
50,6.206,3.2,8
70.7,8.745,3.2,8
1,0.187,3.4,8
2,0.309,3.4,8
3,0.432,3.4,8
4,0.555,3.4,8
5,0.678,3.4,8
7,0.925,3.4,8
9,1.17,3.4,8
11,1.416,3.4,8
15,1.908,3.4,8
20,2.524,3.4,8
35.4,4.418,3.4,8
40,4.984,3.4,8
50,6.214,3.4,8
70.7,8.76,3.4,8
1,0.177,3.6,8
2,0.299,3.6,8
3,0.423,3.6,8
4,0.545,3.6,8
5,0.667,3.6,8
7,0.913,3.6,8
9,1.159,3.6,8
11,1.405,3.6,8
15,1.895,3.6,8
20,2.51,3.6,8
35.4,4.4,3.6,8
40,4.965,3.6,8
50,6.192,3.6,8
70.7,8.734,3.6,8
1,0.17,3.8,8
2,0.293,3.8,8
3,0.417,3.8,8
4,0.54,3.8,8
5,0.664,3.8,8
7,0.912,3.8,8
9,1.159,3.8,8
11,1.407,3.8,8
15,1.9,3.8,8
20,2.52,3.8,8
35.4,4.423,3.8,8
40,4.993,3.8,8
50,6.229,3.8,8
70.7,8.788,3.8,8
1,0.163,4.0,8
2,0.286,4.0,8
3,0.409,4.0,8
4,0.531,4.0,8
5,0.655,4.0,8
7,0.9,4.0,8
9,1.146,4.0,8
11,1.392,4.0,8
15,1.883,4.0,8
20,2.498,4.0,8
35.4,4.391,4.0,8
40,4.956,4.0,8
50,6.185,4.0,8
70.7,8.728,4.0,8
1,0.157,4.2,8
2,0.281,4.2,8
3,0.404,4.2,8
4,0.527,4.2,8
5,0.65,4.2,8
7,0.897,4.2,8
9,1.144,4.2,8
11,1.389,4.2,8
15,1.882,4.2,8
20,2.498,4.2,8
35.4,4.394,4.2,8
40,4.961,4.2,8
50,6.192,4.2,8
70.7,8.741,4.2,8
1,0.154,4.4,8
2,0.278,4.4,8
3,0.402,4.4,8
4,0.526,4.4,8
5,0.65,4.4,8
7,0.899,4.4,8
9,1.147,4.4,8
11,1.396,4.4,8
15,1.892,4.4,8
20,2.513,4.4,8
35.4,4.425,4.4,8
40,4.997,4.4,8
50,6.237,4.4,8
70.7,8.808,4.4,8
1,0.149,4.6,8
2,0.271,4.6,8
3,0.394,4.6,8
4,0.516,4.6,8
5,0.639,4.6,8
7,0.885,4.6,8
9,1.129,4.6,8
11,1.374,4.6,8
15,1.864,4.6,8
20,2.477,4.6,8
35.4,4.364,4.6,8
40,4.928,4.6,8
50,6.152,4.6,8
70.7,8.688,4.6,8
1,0.146,4.8,8
2,0.269,4.8,8
3,0.393,4.8,8
4,0.515,4.8,8
5,0.639,4.8,8
7,0.887,4.8,8
9,1.132,4.8,8
11,1.379,4.8,8
15,1.872,4.8,8
20,2.489,4.8,8
35.4,4.387,4.8,8
40,4.954,4.8,8
50,6.186,4.8,8
70.7,8.739,4.8,8
1,0.143,5.0,8
2,0.265,5.0,8
3,0.388,5.0,8
4,0.511,5.0,8
5,0.633,5.0,8
7,0.879,5.0,8
9,1.124,5.0,8
11,1.37,5.0,8
15,1.859,5.0,8
20,2.474,5.0,8
35.4,4.362,5.0,8
40,4.927,5.0,8
50,6.152,5.0,8
70.7,8.691,5.0,8
1,0.14,5.2,8
2,0.263,5.2,8
3,0.385,5.2,8
4,0.509,5.2,8
5,0.631,5.2,8
7,0.877,5.2,8
9,1.122,5.2,8
11,1.367,5.2,8
15,1.858,5.2,8
20,2.471,5.2,8
35.4,4.36,5.2,8
40,4.924,5.2,8
50,6.149,5.2,8
70.7,8.688,5.2,8
1,0.139,5.4,8
2,0.261,5.4,8
3,0.384,5.4,8
4,0.508,5.4,8
5,0.63,5.4,8
7,0.877,5.4,8
9,1.123,5.4,8
11,1.369,5.4,8
15,1.861,5.4,8
20,2.476,5.4,8
35.4,4.371,5.4,8
40,4.937,5.4,8
50,6.167,5.4,8
70.7,8.713,5.4,8
1,0.234,3.0,5
2,0.43,3.0,5
3,0.627,3.0,5
4,0.825,3.0,5
5,1.021,3.0,5
7,1.417,3.0,5
9,1.81,3.0,5
11,2.203,3.0,5
15,2.991,3.0,5
20,3.977,3.0,5
35.4,7.01,3.0,5
40,7.917,3.0,5
50,9.885,3.0,5
1,0.228,3.2,5
2,0.427,3.2,5
3,0.625,3.2,5
4,0.824,3.2,5
5,1.023,3.2,5
7,1.422,3.2,5
9,1.82,3.2,5
11,2.217,3.2,5
15,3.012,3.2,5
20,4.007,3.2,5
35.4,7.07,3.2,5
40,7.985,3.2,5
50,9.973,3.2,5
1,0.223,3.4,5
2,0.422,3.4,5
3,0.622,3.4,5
4,0.821,3.4,5
5,1.021,3.4,5
7,1.422,3.4,5
9,1.82,3.4,5
11,2.22,3.4,5
15,3.018,3.4,5
20,4.017,3.4,5
35.4,7.091,3.4,5
40,8.01,3.4,5
50,10.006,3.4,5
1,0.217,3.6,5
2,0.414,3.6,5
3,0.612,3.6,5
4,0.81,3.6,5
5,1.008,3.6,5
7,1.405,3.6,5
9,1.799,3.6,5
11,2.195,3.6,5
15,2.985,3.6,5
20,3.974,3.6,5
35.4,7.02,3.6,5
40,7.93,3.6,5
50,9.907,3.6,5
1,0.214,3.8,5
2,0.411,3.8,5
3,0.608,3.8,5
4,0.805,3.8,5
5,1.003,3.8,5
7,1.399,3.8,5
9,1.794,3.8,5
11,2.188,3.8,5
15,2.978,3.8,5
20,3.966,3.8,5
35.4,7.007,3.8,5
40,7.916,3.8,5
50,9.89,3.8,5
1,0.211,4.0,5
2,0.41,4.0,5
3,0.609,4.0,5
4,0.807,4.0,5
5,1.007,4.0,5
7,1.406,4.0,5
9,1.803,4.0,5
11,2.201,4.0,5
15,2.995,4.0,5
20,3.991,4.0,5
35.4,7.053,4.0,5
40,7.969,4.0,5
50,9.957,4.0,5
1,0.212,4.2,5
2,0.415,4.2,5
3,0.617,4.2,5
4,0.8190001,4.2,5
5,1.022,4.2,5
7,1.428,4.2,5
9,1.833,4.2,5
11,2.238,4.2,5
15,3.048,4.2,5
20,4.061,4.2,5
35.4,7.181,4.2,5
40,8.113,4.2,5
50,10.138,4.2,5
1,0.208,4.4,5
2,0.409,4.4,5
3,0.61,4.4,5
4,0.81,4.4,5
5,1.01,4.4,5
7,1.413,4.4,5
9,1.814,4.4,5
11,2.215,4.4,5
15,3.018,4.4,5
20,4.022,4.4,5
35.4,7.112,4.4,5
40,8.036,4.4,5
50,10.041,4.4,5
1,0.206,4.6,5
2,0.406,4.6,5
3,0.605,4.6,5
4,0.805,4.6,5
5,1.005,4.6,5
7,1.405,4.6,5
9,1.805,4.6,5
11,2.204,4.6,5
15,3.003,4.6,5
20,4.002,4.6,5
35.4,7.079,4.6,5
40,7.998,4.6,5
50,9.995,4.6,5
1,0.205,4.8,5
2,0.404,4.8,5
3,0.605,4.8,5
4,0.804,4.8,5
5,1.004,4.8,5
7,1.405,4.8,5
9,1.805,4.8,5
11,2.204,4.8,5
15,3.004,4.8,5
20,4.004,4.8,5
35.4,7.082,4.8,5
40,8.002,4.8,5
50,10.0,4.8,5
1,0.205,5.0,5
2,0.406,5.0,5
3,0.607,5.0,5
4,0.808,5.0,5
5,1.01,5.0,5
7,1.414,5.0,5
9,1.815,5.0,5
11,2.218,5.0,5
15,3.023,5.0,5
20,4.03,5.0,5
35.4,7.131,5.0,5
40,8.057,5.0,5
50,10.068,5.0,5
1,0.206,5.2,5
2,0.41,5.2,5
3,0.615,5.2,5
4,0.8190001,5.2,5
5,1.023,5.2,5
7,1.432,5.2,5
9,1.84,5.2,5
11,2.248,5.2,5
15,3.063,5.2,5
20,4.085,5.2,5
35.4,7.227,5.2,5
40,8.168,5.2,5
50,10.207,5.2,5
1,0.199,5.4,5
2,0.395,5.4,5
3,0.592,5.4,5
4,0.788,5.4,5
5,0.984,5.4,5
7,1.378,5.4,5
9,1.771,5.4,5
11,2.164,5.4,5
15,2.949,5.4,5
20,3.932,5.4,5
35.4,6.958,5.4,5
40,7.863,5.4,5
50,9.826,5.4,5
